"Number","Player","Position","Height","Weight","Birth Date","Country","Experience","College"
9,"Jared Cunningham","SG",1.95,88.45,1991-05-22,"US",3,"Oregon State University"
8,"Matthew Dellavedova","PG",1.95,89.81,1990-09-08,"AU",2,"Saint Mary's College of California"
9,"Channing Frye","C",1.86,115.67,1983-05-17,"US",9,"University of Arizona"
12,"Joe Harris","SG",2.01,99.34,1991-09-07,"US",1,"University of Virginia"
2,"Kyrie Irving","PG",1.92,87.54,1992-03-23,"AU",4,"Duke University"
23,"LeBron James","SF",2.07,113.4,1984-12-30,"US",12,NA
24,"Richard Jefferson","SF",2.04,105.69,1980-06-21,"US",14,"University of Arizona"
30,"Dahntay Jones","SF",2.01,102.06,1980-12-27,"US",11,"Duke University"
1,"James Jones","SF",2.07,98.88,1980-10-04,"US",12,"University of Miami"
14,"Sasha Kaun","C",1.86,117.93,1985-05-08,"RU",0,"University of Kansas"
0,"Kevin Love","PF",1.86,113.85,1988-09-07,"US",7,"University of California, Los Angeles"
12,"Jordan McRae","PG",2.01,83.91,1991-03-28,"US",0,"University of Tennessee"
20,"Timofey Mozgov","C",2.16,124.74,1986-07-16,"RU",5,NA
4,"Iman Shumpert","SG",1.98,99.79,1990-06-26,"US",4,"Georgia Institute of Technology"
5,"J.R. Smith","SG",2.01,102.06,1985-09-09,"US",11,NA
13,"Tristan Thompson","PF",2.1,107.95,1991-03-13,"CA",4,"University of Texas at Austin"
17,"Anderson Varejao","C",1.86,123.83,1982-09-28,"BR",11,NA
52,"Mo Williams","PG",1.86,89.81,1982-12-19,"US",12,"University of Alabama"
